compte_courant,historique_credit,epargne,anciennete_emploi,patrimoine,logement,autres_credits,objet_credit,situation_familiale,age,montant_credit,duree_mois,taux_effort,anciennete_logement,nb_credits_en_cours,personnes_a_charge,defaut
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,voiture neuve,marie,47,1798,23,2,3,1,0,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,credit dans une autre banque,voiture neuve,celibataire,23,3250,16,2,3,1,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,tv hifi,celibataire,30,1749,15,4,2,1,0,1
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,equipement maison,celibataire,47,1957,18,2,4,2,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,tv hifi,marie,36,5560,30,4,4,2,0,1
pas de compte,credits en cours ok,100 a 500 euros,4 a 7 ans,assurance vie,proprietaire,aucun,voiture neuve,marie,34,2635,23,2,1,2,0,0
pas de compte,credits en cours ok,100 a 500 euros,1 a 4 ans,immobilier,proprietaire,aucun,equipement maison,marie,33,1330,25,1,2,1,0,0
0 a 200 euros,credits en cours ok,100 a 500 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture neuve,celibataire,48,4046,25,3,2,1,0,1
solde negatif,aucun credit,500 a 1000 euros,sans emploi,voiture,proprietaire,credit dans une autre banque,autre,marie,24,2814,31,2,1,1,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,locataire,aucun,tv hifi,divorce,29,397,36,4,2,1,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,sans emploi,aucun,proprietaire,aucun,tv hifi,celibataire,21,3322,12,4,1,1,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,voiture occasion,marie,30,3236,21,4,4,2,0,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,voiture neuve,veuf,35,2476,35,4,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,loge gratuitement,aucun,autre,celibataire,19,4638,12,2,1,2,0,1
0 a 200 euros,aucun credit,moins de 100 euros,sans emploi,immobilier,proprietaire,aucun,voiture occasion,marie,25,1504,39,4,1,2,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,equipement maison,celibataire,36,3110,12,4,4,2,0,0
plus de 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,locataire,credit dans une autre banque,tv hifi,marie,39,790,23,4,2,2,0,0
solde negatif,retards passes,pas d epargne,plus de 7 ans,voiture,proprietaire,aucun,voiture neuve,celibataire,58,3272,16,4,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,reparations,veuf,41,9959,14,4,4,2,0,1
0 a 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,immobilier,proprietaire,aucun,tv hifi,marie,32,1192,24,3,4,1,2,0
pas de compte,credits en cours ok,500 a 1000 euros,plus de 7 ans,aucun,proprietaire,aucun,voiture occasion,marie,35,1412,36,4,2,2,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,plus de 7 ans,aucun,proprietaire,aucun,voiture neuve,marie,36,1464,16,2,4,1,1,0
0 a 200 euros,credits en cours ok,pas d epargne,plus de 7 ans,assurance vie,locataire,aucun,voiture neuve,marie,29,2680,38,2,4,1,1,0
solde negatif,credits en cours ok,pas d epargne,plus de 7 ans,immobilier,proprietaire,aucun,etudes,marie,37,1135,12,4,3,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,tv hifi,divorce,28,3305,36,2,4,1,0,1
0 a 200 euros,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,voiture occasion,veuf,37,4491,20,1,2,1,1,1
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,voiture neuve,marie,33,3586,22,1,2,1,0,0
0 a 200 euros,credits en cours ok,pas d epargne,moins de 1 an,voiture,loge gratuitement,aucun,tv hifi,divorce,31,683,9,4,4,2,0,1
solde negatif,defauts passes,moins de 100 euros,plus de 7 ans,immobilier,loge gratuitement,aucun,tv hifi,marie,32,4997,14,2,4,1,1,1
0 a 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,equipement maison,marie,43,4793,18,4,4,1,1,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,aucun,proprietaire,credit dans une autre banque,equipement maison,marie,42,4437,34,3,4,1,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,loge gratuitement,aucun,voiture neuve,celibataire,31,3192,16,3,2,1,1,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,aucun,loge gratuitement,aucun,tv hifi,celibataire,43,2860,11,3,2,1,0,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,autre,celibataire,33,5132,21,4,3,2,0,0
0 a 200 euros,credits en cours ok,plus de 1000 euros,1 a 4 ans,assurance vie,proprietaire,aucun,voiture neuve,marie,33,9749,51,2,2,1,0,0
pas de compte,tous rembourses,moins de 100 euros,sans emploi,voiture,proprietaire,aucun,tv hifi,celibataire,29,1229,23,4,4,1,1,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,credit dans une autre banque,equipement maison,marie,56,5304,16,4,2,1,2,0
plus de 200 euros,retards passes,pas d epargne,moins de 1 an,immobilier,proprietaire,aucun,equipement maison,veuf,54,2294,21,4,4,1,0,0
plus de 200 euros,credits en cours ok,moins de 100 euros,sans emploi,voiture,proprietaire,aucun,voiture occasion,celibataire,27,2223,11,4,4,1,0,1
solde negatif,retards passes,pas d epargne,1 a 4 ans,voiture,locataire,aucun,reparations,marie,30,807,41,3,3,2,0,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,locataire,aucun,equipement maison,celibataire,38,1988,40,4,2,1,2,0
solde negatif,tous rembourses,plus de 1000 euros,1 a 4 ans,assurance vie,proprietaire,aucun,tv hifi,celibataire,40,1190,10,4,4,1,0,0
pas de compte,defauts passes,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,voiture occasion,marie,24,1748,40,4,4,1,0,0
pas de compte,retards passes,pas d epargne,4 a 7 ans,immobilier,proprietaire,aucun,voiture neuve,marie,25,1107,22,4,4,1,2,0
0 a 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,assurance vie,proprietaire,aucun,voiture neuve,marie,19,1767,28,4,1,2,1,0
0 a 200 euros,tous rembourses,moins de 100 euros,sans emploi,immobilier,proprietaire,aucun,tv hifi,celibataire,40,1822,19,4,1,1,0,0
0 a 200 euros,credits en cours ok,pas d epargne,plus de 7 ans,immobilier,proprietaire,aucun,voiture neuve,marie,20,2617,19,2,2,1,2,0
0 a 200 euros,credits en cours ok,pas d epargne,4 a 7 ans,aucun,proprietaire,aucun,tv hifi,celibataire,27,763,13,4,2,2,0,1
pas de compte,retards passes,moins de 100 euros,plus de 7 ans,voiture,loge gratuitement,credit dans une autre banque,equipement maison,celibataire,45,862,10,4,4,1,0,1
solde negatif,credits en cours ok,moins de 100 euros,sans emploi,voiture,proprietaire,aucun,equipement maison,celibataire,44,3167,10,4,4,2,0,1
pas de compte,aucun credit,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,equipement maison,celibataire,55,1374,34,2,2,1,1,0
solde negatif,aucun credit,500 a 1000 euros,4 a 7 ans,assurance vie,proprietaire,credit dans un magasin,equipement maison,celibataire,61,5290,21,4,2,1,1,0
solde negatif,defauts passes,pas d epargne,1 a 4 ans,immobilier,loge gratuitement,aucun,voiture neuve,celibataire,75,2870,11,4,2,2,0,1
0 a 200 euros,aucun credit,plus de 1000 euros,4 a 7 ans,immobilier,proprietaire,aucun,voiture occasion,veuf,30,3778,20,2,4,2,2,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,tv hifi,celibataire,28,6739,6,4,3,1,0,0
pas de compte,tous rembourses,100 a 500 euros,4 a 7 ans,voiture,proprietaire,aucun,tv hifi,celibataire,39,1953,11,3,4,2,1,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,voiture occasion,celibataire,21,1614,36,4,2,1,1,0
0 a 200 euros,credits en cours ok,100 a 500 euros,plus de 7 ans,voiture,locataire,aucun,equipement maison,marie,31,4572,13,3,4,1,0,0
solde negatif,credits en cours ok,plus de 1000 euros,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,celibataire,35,3522,34,2,2,1,0,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,locataire,aucun,voiture neuve,divorce,40,2133,18,3,2,1,2,0
pas de compte,credits en cours ok,plus de 1000 euros,4 a 7 ans,immobilier,proprietaire,aucun,voiture neuve,veuf,41,6647,28,4,4,2,0,0
0 a 200 euros,defauts passes,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,etudes,celibataire,31,2095,9,1,4,1,1,1
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,assurance vie,proprietaire,aucun,voiture neuve,marie,22,2499,25,4,2,1,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,4 a 7 ans,voiture,proprietaire,credit dans une autre banque,voiture neuve,celibataire,23,2478,4,4,2,2,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,aucun,locataire,credit dans une autre banque,voiture occasion,marie,19,1245,14,4,2,1,0,0
pas de compte,tous rembourses,pas d epargne,plus de 7 ans,immobilier,proprietaire,aucun,voiture neuve,marie,28,2581,37,1,2,1,0,0
pas de compte,aucun credit,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,tv hifi,celibataire,21,6672,19,4,4,1,0,0
plus de 200 euros,retards passes,moins de 100 euros,1 a 4 ans,voiture,proprietaire,credit dans une autre banque,voiture neuve,celibataire,29,3362,10,4,4,1,2,0
pas de compte,tous rembourses,moins de 100 euros,moins de 1 an,immobilier,locataire,aucun,voiture neuve,marie,38,2496,36,2,1,2,0,0
pas de compte,credits en cours ok,100 a 500 euros,plus de 7 ans,assurance vie,loge gratuitement,credit dans une autre banque,tv hifi,marie,22,2172,55,1,2,1,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,plus de 7 ans,assurance vie,locataire,aucun,equipement maison,celibataire,35,3097,16,2,2,1,2,0
plus de 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,aucun,proprietaire,aucun,tv hifi,marie,31,4187,6,4,3,2,1,0
plus de 200 euros,tous rembourses,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,tv hifi,marie,38,3784,19,1,2,1,0,1
0 a 200 euros,tous rembourses,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,voiture occasion,divorce,41,1922,29,2,4,1,2,1
pas de compte,tous rembourses,pas d epargne,4 a 7 ans,assurance vie,proprietaire,credit dans une autre banque,tv hifi,celibataire,30,3084,17,4,2,2,1,0
pas de compte,tous rembourses,moins de 100 euros,sans emploi,voiture,locataire,aucun,voiture neuve,marie,34,3448,4,4,4,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,tv hifi,marie,31,1182,27,4,4,1,0,0
solde negatif,credits en cours ok,plus de 1000 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,celibataire,29,2755,12,4,4,1,1,0
solde negatif,tous rembourses,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,voiture occasion,marie,26,515,14,1,4,1,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,marie,39,3454,6,4,4,1,0,0
pas de compte,defauts passes,moins de 100 euros,plus de 7 ans,aucun,proprietaire,aucun,etudes,veuf,51,3926,4,2,4,1,0,0
solde negatif,tous rembourses,pas d epargne,moins de 1 an,immobilier,proprietaire,aucun,autre,celibataire,49,4181,9,4,2,2,0,1
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,marie,21,1836,13,4,2,1,0,0
solde negatif,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,equipement maison,celibataire,51,3049,13,2,1,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,loge gratuitement,credit dans une autre banque,voiture neuve,veuf,24,6804,42,4,4,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,loge gratuitement,aucun,voiture occasion,celibataire,35,6754,9,3,4,1,1,0
pas de compte,credits en cours ok,plus de 1000 euros,1 a 4 ans,assurance vie,proprietaire,aucun,equipement maison,veuf,38,2390,32,1,2,2,1,0
solde negatif,credits en cours ok,100 a 500 euros,moins de 1 an,voiture,proprietaire,aucun,equipement maison,divorce,19,2698,20,4,4,1,0,0
0 a 200 euros,retards passes,moins de 100 euros,4 a 7 ans,aucun,locataire,aucun,business,celibataire,32,5431,45,4,4,1,0,1
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,equipement maison,divorce,52,828,18,4,4,2,0,0
plus de 200 euros,aucun credit,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,equipement maison,veuf,19,1934,4,3,4,1,0,0
pas de compte,retards passes,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,credit dans une autre banque,equipement maison,celibataire,70,6384,17,4,4,3,2,1
pas de compte,aucun credit,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,reparations,marie,19,4925,4,1,2,1,1,0
0 a 200 euros,credits en cours ok,pas d epargne,4 a 7 ans,immobilier,proprietaire,credit dans une autre banque,tv hifi,marie,37,3184,9,2,2,1,0,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,aucun,proprietaire,aucun,tv hifi,celibataire,20,825,17,3,3,1,0,0
plus de 200 euros,tous rembourses,moins de 100 euros,moins de 1 an,aucun,proprietaire,aucun,equipement maison,celibataire,39,2354,17,1,2,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,sans emploi,aucun,proprietaire,aucun,reparations,celibataire,48,1596,32,4,1,2,1,0
plus de 200 euros,tous rembourses,plus de 1000 euros,plus de 7 ans,aucun,proprietaire,aucun,voiture neuve,celibataire,44,3097,24,3,4,2,0,0
pas de compte,tous rembourses,500 a 1000 euros,4 a 7 ans,immobilier,locataire,aucun,etudes,marie,20,1363,43,2,4,2,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,aucun,tv hifi,celibataire,46,1166,31,1,4,1,1,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,locataire,aucun,equipement maison,divorce,31,552,29,4,2,1,0,1
plus de 200 euros,tous rembourses,100 a 500 euros,plus de 7 ans,assurance vie,proprietaire,aucun,equipement maison,marie,20,5882,52,4,3,2,2,0
pas de compte,tous rembourses,pas d epargne,plus de 7 ans,assurance vie,proprietaire,aucun,tv hifi,celibataire,52,1830,31,3,2,1,1,0
solde negatif,tous rembourses,100 a 500 euros,1 a 4 ans,assurance vie,proprietaire,credit dans une autre banque,voiture neuve,marie,64,2733,39,4,1,2,1,1
plus de 200 euros,tous rembourses,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,etudes,marie,35,2437,6,2,3,2,2,0
solde negatif,credits en cours ok,100 a 500 euros,1 a 4 ans,voiture,proprietaire,credit dans une autre banque,equipement maison,veuf,30,1132,15,4,1,1,0,1
solde negatif,tous rembourses,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,equipement maison,celibataire,26,986,23,1,1,2,0,0
0 a 200 euros,retards passes,100 a 500 euros,4 a 7 ans,assurance vie,proprietaire,aucun,voiture neuve,celibataire,43,1183,20,3,4,2,2,0
solde negatif,credits en cours ok,500 a 1000 euros,1 a 4 ans,voiture,proprietaire,aucun,equipement maison,divorce,47,1450,11,4,1,2,1,1
solde negatif,defauts passes,pas d epargne,plus de 7 ans,voiture,proprietaire,credit dans une autre banque,equipement maison,divorce,30,3178,30,4,4,1,2,1
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,equipement maison,marie,56,1376,34,3,3,1,0,1
0 a 200 euros,credits en cours ok,plus de 1000 euros,4 a 7 ans,voiture,loge gratuitement,aucun,tv hifi,marie,42,8582,18,4,4,1,1,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,equipement maison,celibataire,35,5113,16,4,1,1,0,1
pas de compte,tous rembourses,100 a 500 euros,sans emploi,assurance vie,proprietaire,aucun,business,marie,38,4368,14,4,3,1,0,0
plus de 200 euros,credits en cours ok,moins de 100 euros,sans emploi,voiture,proprietaire,aucun,tv hifi,celibataire,24,2239,30,3,2,2,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,loge gratuitement,aucun,electromenager,celibataire,43,7261,16,2,4,2,0,0
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,locataire,aucun,voiture neuve,divorce,24,2086,19,4,2,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,celibataire,28,2386,36,1,2,1,1,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,equipement maison,marie,33,2758,22,1,4,2,0,0
pas de compte,retards passes,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,tv hifi,divorce,60,4045,19,1,2,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,etudes,celibataire,37,3861,13,4,1,2,0,0
pas de compte,tous rembourses,moins de 100 euros,moins de 1 an,voiture,proprietaire,credit dans une autre banque,voiture neuve,veuf,25,1734,19,1,2,2,0,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,veuf,38,1663,12,4,4,2,2,1
pas de compte,credits en cours ok,100 a 500 euros,plus de 7 ans,immobilier,proprietaire,credit dans une autre banque,reparations,marie,41,3869,21,3,2,3,0,0
plus de 200 euros,credits en cours ok,plus de 1000 euros,moins de 1 an,immobilier,proprietaire,aucun,voiture neuve,celibataire,50,4085,14,1,2,2,0,0
plus de 200 euros,tous rembourses,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,aucun,tv hifi,celibataire,34,1839,15,3,1,1,1,0
0 a 200 euros,credits en cours ok,100 a 500 euros,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,marie,26,778,19,2,3,1,1,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,locataire,credit dans une autre banque,reparations,celibataire,66,2102,46,4,4,1,1,1
pas de compte,defauts passes,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,celibataire,38,3824,23,4,2,1,1,0
0 a 200 euros,credits en cours ok,plus de 1000 euros,sans emploi,immobilier,proprietaire,credit dans une autre banque,voiture neuve,veuf,25,8954,9,3,2,2,2,1
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,credit dans une autre banque,tv hifi,celibataire,33,1030,16,1,1,1,0,0
pas de compte,credits en cours ok,pas d epargne,4 a 7 ans,assurance vie,proprietaire,aucun,business,marie,28,1795,13,4,2,2,2,0
0 a 200 euros,credits en cours ok,100 a 500 euros,plus de 7 ans,voiture,proprietaire,aucun,equipement maison,celibataire,51,1844,13,4,2,1,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture occasion,marie,41,6478,13,4,3,1,0,0
plus de 200 euros,credits en cours ok,100 a 500 euros,plus de 7 ans,voiture,proprietaire,aucun,tv hifi,divorce,30,2380,16,4,3,2,1,0
0 a 200 euros,tous rembourses,500 a 1000 euros,moins de 1 an,aucun,proprietaire,aucun,business,celibataire,47,1270,12,2,4,1,1,0
solde negatif,tous rembourses,pas d epargne,1 a 4 ans,immobilier,locataire,credit dans une autre banque,reparations,celibataire,33,3649,12,4,1,2,0,1
solde negatif,tous rembourses,100 a 500 euros,moins de 1 an,assurance vie,loge gratuitement,aucun,autre,marie,33,1824,13,2,4,2,0,1
0 a 200 euros,aucun credit,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,voiture neuve,marie,26,1011,13,1,3,1,2,0
0 a 200 euros,defauts passes,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,voiture neuve,marie,26,1283,11,4,3,1,0,1
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,locataire,aucun,tv hifi,celibataire,64,8506,26,4,4,1,0,0
pas de compte,defauts passes,500 a 1000 euros,plus de 7 ans,assurance vie,proprietaire,aucun,reparations,celibataire,46,3218,15,4,2,2,1,1
pas de compte,credits en cours ok,pas d epargne,moins de 1 an,voiture,proprietaire,aucun,voiture occasion,veuf,19,2638,16,2,1,1,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,voiture occasion,divorce,24,2039,16,2,4,1,0,1
plus de 200 euros,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,locataire,aucun,tv hifi,marie,22,3012,12,3,2,2,1,0
pas de compte,tous rembourses,moins de 100 euros,moins de 1 an,immobilier,proprietaire,credit dans un magasin,voiture neuve,divorce,34,2986,10,4,1,1,1,1
solde negatif,retards passes,moins de 100 euros,moins de 1 an,aucun,proprietaire,aucun,equipement maison,marie,29,3012,28,2,2,2,0,1
pas de compte,tous rembourses,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,equipement maison,marie,54,2651,11,4,2,2,2,0
plus de 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,tv hifi,celibataire,30,4562,11,2,4,2,0,1
0 a 200 euros,retards passes,moins de 100 euros,moins de 1 an,voiture,proprietaire,credit dans un magasin,tv hifi,marie,62,2482,33,4,2,2,0,0
0 a 200 euros,credits en cours ok,100 a 500 euros,moins de 1 an,voiture,proprietaire,credit dans une autre banque,equipement maison,marie,33,1207,13,4,2,1,0,1
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,assurance vie,locataire,aucun,tv hifi,celibataire,67,1570,19,3,3,3,1,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,proprietaire,credit dans une autre banque,tv hifi,marie,32,587,15,2,3,1,0,0
pas de compte,credits en cours ok,plus de 1000 euros,plus de 7 ans,aucun,locataire,aucun,tv hifi,marie,32,10502,18,4,4,2,0,0
pas de compte,tous rembourses,pas d epargne,plus de 7 ans,voiture,proprietaire,aucun,tv hifi,marie,46,4542,41,3,1,1,1,0
0 a 200 euros,credits en cours ok,plus de 1000 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture occasion,marie,44,1343,12,4,4,3,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture neuve,divorce,21,1992,26,4,3,2,1,1
plus de 200 euros,credits en cours ok,100 a 500 euros,plus de 7 ans,immobilier,locataire,aucun,voiture neuve,celibataire,35,1543,28,2,4,2,0,0
plus de 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture neuve,marie,29,7410,27,4,2,1,2,0
solde negatif,credits en cours ok,pas d epargne,1 a 4 ans,assurance vie,proprietaire,credit dans une autre banque,equipement maison,marie,28,878,40,2,3,2,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,locataire,credit dans une autre banque,reparations,marie,35,2650,4,4,4,2,0,0
plus de 200 euros,retards passes,100 a 500 euros,moins de 1 an,voiture,locataire,aucun,tv hifi,celibataire,31,2257,7,2,4,2,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,assurance vie,locataire,aucun,tv hifi,celibataire,36,4426,10,4,2,1,2,1
pas de compte,tous rembourses,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,equipement maison,divorce,24,2265,14,2,2,1,1,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,equipement maison,marie,19,688,22,2,3,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,equipement maison,divorce,47,2037,11,2,4,1,1,0
plus de 200 euros,tous rembourses,moins de 100 euros,moins de 1 an,immobilier,locataire,credit dans un magasin,voiture neuve,marie,49,1212,11,4,2,1,0,0
solde negatif,retards passes,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,voiture neuve,marie,46,2585,20,4,4,1,2,0
pas de compte,credits en cours ok,100 a 500 euros,moins de 1 an,immobilier,proprietaire,aucun,tv hifi,divorce,34,6854,25,4,4,1,2,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,autre,marie,30,698,18,2,4,1,2,0
solde negatif,aucun credit,pas d epargne,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,celibataire,27,1372,25,4,3,1,2,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,locataire,credit dans une autre banque,voiture neuve,marie,25,1639,6,4,2,2,2,0
pas de compte,tous rembourses,pas d epargne,moins de 1 an,immobilier,locataire,aucun,tv hifi,divorce,33,1854,12,2,4,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,locataire,aucun,voiture occasion,celibataire,49,4158,10,3,4,1,1,0
solde negatif,retards passes,moins de 100 euros,1 a 4 ans,voiture,proprietaire,credit dans un magasin,reparations,celibataire,26,2154,13,3,4,1,1,1
0 a 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,voiture,locataire,aucun,tv hifi,celibataire,49,3292,18,2,2,1,2,0
solde negatif,aucun credit,moins de 100 euros,plus de 7 ans,aucun,proprietaire,aucun,business,divorce,20,1555,5,2,4,2,0,1
0 a 200 euros,credits en cours ok,pas d epargne,moins de 1 an,immobilier,proprietaire,aucun,equipement maison,celibataire,37,2880,13,4,2,1,0,1
solde negatif,tous rembourses,100 a 500 euros,4 a 7 ans,immobilier,loge gratuitement,aucun,tv hifi,marie,39,4273,12,2,2,1,0,0
solde negatif,tous rembourses,500 a 1000 euros,1 a 4 ans,aucun,proprietaire,credit dans une autre banque,equipement maison,marie,28,1440,7,4,4,3,1,0
0 a 200 euros,credits en cours ok,pas d epargne,moins de 1 an,assurance vie,proprietaire,aucun,tv hifi,marie,23,4284,26,4,3,1,0,1
solde negatif,credits en cours ok,plus de 1000 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,marie,44,2534,18,4,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,locataire,aucun,voiture neuve,celibataire,34,5181,13,4,2,1,0,1
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,credit dans une autre banque,equipement maison,marie,74,2111,44,1,4,1,0,0
0 a 200 euros,tous rembourses,pas d epargne,moins de 1 an,aucun,proprietaire,aucun,tv hifi,marie,49,3212,7,4,3,3,0,0
solde negatif,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,reparations,divorce,49,2370,45,2,4,1,0,1
